id,name,adm1_code,num_employees_per_thousand_pop,num_businesses_per_thousand_pop,total_wages_per_GDP,avg_weekly_wage,avg_annual_pay,civilianEmployees16,stateGDP_millions,num_employees,num_businesses,total_wages_thousands
1,Alabama,USA-3541,1257.532506,24.95457491,64.48971795,1017,52879,2010453,207303,252821,5017,13368912
3,Arizona,USA-3520,566.5699449,16.88577276,37.36146152,1360,70718,2754982,295445,156089,4652,11038257
4,Arkansas,USA-3528,1231.316663,23.79930927,55.39405022,847,44024,1251717,122492,154126,2979,6785328
5,California,USA-3521,748.4197276,24.17639515,42.43294501,1565,81368,16890442,2424033,1264114,40835,102858859
6,Colorado,USA-3522,531.9164308,21.20511438,28.04259876,1253,65168,2560703,316535,136208,5430,8876464
7,Connecticut,USA-3537,903.2991611,26.09605113,50.03020477,1565,81393,1766934,259661,159607,4611,12990893
8,Delaware,USA-3555,602.4834371,18.18809067,23.12500378,1146,59588,426103,66150,25672,775,1529719
9,Florida,USA-3542,397.1902657,23.09891646,20.7975298,1068,55517,8335023,883735,331059,19253,18379505
10,Georgia,USA-3543,848.2086587,21.61125599,40.5406022,1061,55151,4300074,496180,364736,9293,20115436
12,Idaho,USA-3518,851.1252328,34.14793648,53.63198982,1123,58409,703410,65202,59869,2402,3496913
13,Illinois,USA-3546,959.6154264,32.18982131,49.84957055,1267,65866,6032031,764817,578843,19417,38125799
14,Indiana,USA-3547,1693.608385,28.15941038,89.56983567,1109,57667,2994736,326538,507191,8433,29247955
15,Iowa,USA-3529,1387.866306,25.75373186,70.20433223,1046,54417,1562492,168089,216853,4024,11800576
16,Kansas,USA-3530,1166.739472,22.47391216,59.48102504,1030,53558,1391836,146219,162391,3128,8697256
17,Kentucky,USA-3548,1254.250008,23.48628639,67.02547777,1059,55091,1870879,192874,234655,4394,12927472
18,Louisiana,USA-3535,734.6048012,22.47791411,39.23278319,1297,67469,2002410,252965,147098,4501,9924521
19,Maine,USA-3561,776.1610549,27.28799978,47.91116673,1013,52651,646438,55137,50174,1764,2641678
20,Maryland,USA-3557,350.6801291,12.38540197,20.15895825,1353,70354,2949440,360969,103431,3653,7276759
21,Massachusetts,USA-3513,746.2650967,21.01050794,44.07881023,1604,83404,3354036,473606,250300,7047,20875989
22,Michigan,USA-3562,1342.881245,34.00430504,80.41293926,1240,64469,4293574,462252,576576,14600,37171042
23,Minnesota,USA-3514,1121.152091,28.86841631,57.60492107,1175,61093,2781933,330782,311897,8031,19054671
24,Mississippi,USA-3544,1163.920095,20.33652868,59.61913361,878,45667,1198828,106880,139534,2438,6372093
25,Missouri,USA-3531,920.6108941,23.72309838,49.09177701,1059,55091,2779991,287207,255929,6595,14099502
26,Montana,USA-3515,392.3977228,29.14039978,18.84912334,879,45726,481119,45799,18879,1402,863271
27,Nebraska,USA-3532,1017.432753,20.63690329,39.74624804,880,45779,957508,112208,97420,1976,4459847
28,Nevada,USA-3523,334.157119,15.72608402,16.13744595,1053,54734,1240614,140608,41456,1951,2269054
29,New Hampshire,USA-3538,958.4338748,29.03383531,61.44403339,1274,66235,693329,71632,66451,2013,4401359
30,New Jersey,USA-3558,567.3835898,20.90156783,33.48824543,1538,79988,4235089,573947,240292,8852,19220478
31,New Mexico,USA-3524,319.4485511,19.4075669,17.63248541,1100,57223,875947,90810,27982,1700,1601206
32,New York,USA-3559,492.7168581,18.84971229,19.37714604,1195,62166,9137540,1444406,450222,17224,27988466
33,North Carolina,USA-3549,1046.519221,24.0595752,49.17651987,1062,55208,4287690,503745,448715,10316,24772426
34,North Dakota,USA-3516,682.6029286,21.73844389,24.04083001,957,49761,379972,53686,25937,826,1290656
35,Ohio,USA-3550,1271.407406,29.38329587,65.36996014,1105,57485,5303013,592899,674229,15582,38757784
36,Oklahoma,USA-3533,819.5939068,25.70001353,41.24700009,1031,53621,1699610,181089,139299,4368,7469378
37,Oregon,USA-3525,1021.7791,32.62356954,50.79194899,1231,64011,1752414,225661,179058,5717,11461762
38,Pennsylvania,USA-3560,953.8062854,24.24291345,49.01232028,1126,58553,5946480,677582,567179,14416,33209866
39,Rhode Island,USA-3539,798.2603322,32.14943621,39.64382224,1052,54700,511362,56323,40820,1644,2232859
40,South Carolina,USA-3545,1132.644389,25.79236091,64.60857243,1063,55270,2031997,196887,230153,5241,12720588
41,South Dakota,USA-3534,995.4769196,25.33958329,41.53830232,856,44503,425816,45415,42389,1079,1886462
42,Tennessee,USA-3551,1145.44791,22.21168273,59.55798453,1083,56311,2835895,307125,324837,6299,18291746
43,Texas,USA-3536,750.9342443,19.51052628,38.30627236,1369,71189,11809010,1648007,886779,23040,63129005
44,Utah,USA-3526,922.0136973,29.6964652,43.23541722,1018,52923,1299818,146697,119845,3860,6342506
45,Vermont,USA-3540,959.0085327,32.6124376,57.98571429,1063,55290,325336,29750,31200,1061,1725075
46,Virginia,USA-3552,587.8671089,15.11441997,27.40114359,1086,56469,3936638,476919,231422,5950,13068126
47,Washington,USA-3519,893.299549,22.73053129,47.5451024,1429,74328,3194382,446096,285354,7261,21209680
48,West Virginia,USA-3554,634.2576673,17.16613982,36.95528873,1058,55017,753227,71123,47774,1293,2628371
49,Wisconsin,USA-3553,1614.814493,32.29643011,84.31839809,1046,54370,2852018,296971,460548,9211,25040119
50,Wyoming,USA-3527,336.5437383,21.47129843,14.79255663,1165,60562,291552,40170,9812,626,594217
